TRAIN_NUMBER,TRAIN_NAME,OWNING_RLY,TRAIN_TYPE,TRAIN_SUB_TYPE,TRAIN_SRC,TRAIN_DSTN,NO_OF_COACHES,RAKE_TYPE
12142,PPTA-LTT SF EXPRESS,CR,SUF,SUF,PPTA,LTT,23,LHB
12149,PUNE-DNR EXPRESS,CR,SUF,SUF,PUNE,DNR,23,LHB
12149,PUNE-SOU EXPRESS,CR,SUF,SUF,PUNE,SOU,23,LHB
12150,DNR-PUNE EXP,CR,SUF,SUF,DNR,PUNE,23,LHB
12150,SOU-PUNE EXP,CR,SUF,SUF,SOU,PUNE,23,LHB
12165,LTT-GKP EXP,CR,SUF,SUF,LTT,GKP,22,LHB
12166,GKP-LTT EXPRESS,CR,SUF,SUF,GKP,LTT,22,LHB
12167,LTT(T)-BSBS SF EXP,CR,SUF,SUF,LTT,BSBS,22,LHB
12168,BSBS-LTT SF EXP,CR,SUF,SUF,BSBS,LTT,22,LHB
12185,RKMP-REWA REWANCHAL ,WCR,SUF,SUF,RKMP,REWA,22,LHB
12186,REWA-RKMP REWANCHAL EXP,WCR,SUF,SUF,REWA,RKMP,22,LHB
12189,JBP-NZM MAHAKOSHAL EXP,WCR,SUF,SUF,JBP,NZM,22,LHB
12190,NZM-JBP MAHAKOSHAL EXP,WCR,SUF,SUF,NZM,JBP,22,LHB
12293,LTT-PRYJ DURONTO,CR,DRNT,DRNT,LTT,PRYJ,22,LHB
12294,PRYJ-LTT DURONTO,CR,DRNT,DRNT,PRYJ,LTT,22,LHB
12295,SMVB-DNR SANGHAMITRA EXP,SWR,SUF,SUF,SMVB,DNR,23,LHB
12296,DNR-SMVB SANGHAMITRA EXP,SWR,SUF,SUF,DNR,SMVB,23,LHB
12321,HWH MUMBAI EXPRESS,ER,SUF,SUF,HWH,CSMT,22,LHB
12322,CSMT-HWH KOLKATA MAIL,ER,SUF,SUF,CSMT,HWH,22,LHB
12335,BGP-LT(T) BI WKLY EXP,ER,SUF,SUF,BGP,LTT,22,LHB
12336,LTT-BGP BI WKLY EXP,ER,SUF,SUF,LTT,BGP,22,LHB
12361,ASN CSMT WEEKLY EXP,ER,SUF,SUF,ASN,CSMT,22,LHB
12362,CSMT-ASN EXP,ER,SUF,SUF,CSMT,ASN,22,LHB
12389,GAYA-CHENNAI EXPRESS,ECR,SUF,SUF,GAYA,MAS,22,LHB
12390,CHENNAI- GAYA EXPRESS,ECR,SUF,SUF,MAS,GAYA,22,LHB
12519,LTT-AGTL AC S/F EXPRESS,NFR,SUF,SUF,LTT,AGTL,23,LHB
12520,AGTL-LTT AC S/F EXPRESS,NFR,SUF,SUF,AGTL,LTT,23,LHB
12539,YPR-LKO EXPRESS,SWR,MEX,MEX,YPR,LKO,16,LHB
12540,LKO-YPR EXPRESS,SWR,MEX,MEX,LKO,YPR,16,LHB
12545,RXL-LTT KARMBHUMI EXPRESS,ECR,SUF,SUF,RXL,LTT,22,LHB
12546,LTT-RXL KARMBHUMI EXP,ECR,SUF,SUF,LTT,RXL,22,LHB
12577,BAGMATI EXPRESS,ECR,SUF,SUF,DBG,MYS,22,LHB
12578,BAGMATI EXPRESS,ECR,SUF,SUF,MYS,DBG,22,LHB
12669,MAS-CPR SF EXP,SR,SUF,SUF,MAS,CPR,22,LHB
12670,CPR-MAS SF EXP,SR,SUF,SUF,CPR,MAS,22,LHB
12741,VSG-PNBE EXPRESS,SWR,SUF,SUF,VSG,PNBE,21,LHB
12742,PNBE-VSG EXPRESS,SWR,SUF,SUF,PNBE,VSG,21,LHB
12791,SC-DNR,SCR,SUF,SUF,SC,DNR,23,LHB
12792,DNR-SC EXP,SCR,SUF,SUF,DNR,SC,23,LHB
13025,HWH-BPL EXP,ER,MEX,MEX,HWH,BPL,20,LHB
13026,BHOPAL-HOWRAH EXPRESS,ER,MEX,MEX,BPL,HWH,20,LHB
13201,PNBE LTT EXPRESS,ECR,MEX,MEX,PNBE,LTT,22,LHB
13201,RGD-LTT EXPRESS,ECR,MEX,MEX,RGD,LTT,22,LHB
13202,LTT - PNBE EXPRESS,ECR,MEX,MEX,LTT,PNBE,22,LHB
13202,LTT - RGD EXPRESS,ECR,MEX,MEX,LTT,RGD,22,LHB
13202,LTT-RGD EXPRESS,ECR,MEX,MEX,LTT,RGD,22,LHB
15017,KASHI EXP,NER,MEX,MEX,LTT,GKP,22,LHB
15018,GKP-LTT EXPRESS,NER,MEX,MEX,GKP,LTT,22,LHB
15181,MAU LTT WEEKLY EXP,NER,MEX,MEX,MAU,LTT,22,LHB
15182,LTT MAU MEX,NER,MEX,MEX,LTT,MAU,22,LHB
15205,CHITRAKOOT EXP,ECR,MEX,MEX,LJN,JBP,22,LHB
15206,CHITRAKOOT EXP,ECR,MEX,MEX,JBP,LJN,21,LHB
15267,RXL-LTT ANTYODAY EXP,ECR,MEX,ANTY,RXL,LTT,22,LHB
15268,LTT-RXL ANTYODAY EXP,ECR,MEX,ANTY,LTT,RXL,22,LHB
15559,DBG-ADI ANTYODAY EXP,ECR,MEX,ANTY,DBG,ADI,22,LHB
15560,ADI-DBG ANTYODAY EXP,ECR,MEX,ANTY,ADI,DBG,22,LHB
15647,LTT-GHY EXPRESS,NFR,MEX,MEX,LTT,GHY,23,LHB
15648,GHY-LTT EXPRESS,NFR,MEX,MEX,GHY,LTT,23,LHB
15945,LTT-DBRG EXPRESS,NFR,MEX,MEX,LTT,DBRG,23,LHB
15946,DBRG-LTT EXPRESS,NFR,MEX,MEX,DBRG,LTT,23,LHB
16367,CAPE-BSBS KASHI TAMIL EXP,SR,MEX,MEX,CAPE,BSBS,22,LHB
16368,BSBS-CAPE WEEKLY EXP,SR,MEX,MEX,BSBS,CAPE,22,LHB
16601,ED-JBN AMRIT BHARAT EXP ,SR,AMTB,AMTB,ED,JBN,22,AMTB
16602,JBN-ED AMRIT BHARAT EXP,SR,AMTB,AMTB,JBN,ED,22,AMTB
17323,UBL-BSBS EXPRESS,SWR,MEX,MEX,UBL,BSBS,21,LHB
17324,BSBS-UBL EXPRESS,SWR,MEX,MEX,BSBS,UBL,21,LHB
17609,PNBE-PAU EXP,SCR,MEX,MEX,PNBE,PAU,21,LHB
17610,PAU-PNBE EXP,SCR,MEX,MEX,PAU,PNBE,21,LHB
18009,SRC-AII WEEKLY EXP,SER,MEX,MEX,SRC,AII,22,LHB
18010,AII-SRC WEEKLY EXP,SER,MEX,MEX,AII,SRC,22,LHB
18233,INDB-BSP NARMADA,SECR,MEX,MEX,INDB,BSP,24,ICF
18234,BSP-INDB NARMADA,SECR,MEX,MEX,BSP,INDB,24,ICF
18235,BPL-BSP,SECR,MEX,MEX,BPL,BSP,12,ICF
18236,BSP-BPL,SECR,MEX,MEX,BSP,BPL,12,ICF
18247,BSP-REWA EXP,SECR,MEX,MEX,BSP,REWA,15,ICF
18248,REWA-BSP EXP,SECR,MEX,MEX,REWA,BSP,15,ICF
18477,PURI-YNRK DAILY EXP,ECOR,MEX,MEX,PURI,YNRK,22,LHB
18478,YNRK-PURI EXPRESS,ECOR,MEX,MEX,YNRK,PURI,22,LHB
18609,RNC LTT EXPRESS ,SER,MEX,MEX,RNC,LTT,22,LHB
18610,LTT - RNC EXPRESS ,SER,MEX,MEX,LTT,RNC,22,LHB
19045,TAPTI GANGA EXPRESS,WR,MEX,MEX,ST,CPR,22,LHB
19045,TAPTI GANGA EXPRESS,WR,MEX,MEX,ST,THE,22,LHB
19046,TAPTI GANGA EXPRESS,WR,MEX,MEX,CPR,ST,22,LHB
19046,TAPTI GANGA EXPRESS,WR,MEX,MEX,THE,ST,22,LHB
19051,VALSAD - MFP EXPRESS,WR,MEX,MEX,BL,MFP,22,LHB
19052,MFP - BL EXPRESS,WR,MEX,MEX,MFP,BL,22,LHB
19091,BDTS - GKP HUMSAFAR,WR,MEX,HMSF,BDTS,GKP,22,LHB
19092,GKP - BDTS HUMSAFAR,WR,MEX,HMSF,GKP,BDTS,22,LHB
19413,ADI - KOAA EXPRESS,WR,MEX,MEX,ADI,KOAA,20,LHB
19414,KOAA - ADI EXPRESS,WR,MEX,MEX,KOAA,ADI,20,LHB
19421,ADI - PNBE EXPRESS,WR,MEX,MEX,ADI,PNBE,20,LHB
